"DAT246","Empirisk programvaruteknik","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT255","Software engineering project","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"DAT260","Model-based testing","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT261","Model-based testing","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT265","Software evolution project","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT280","Parallell funktionell programmering","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"DAT295","Autonoma och samverkande fordonssystem","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"DAT300","IKT-stöd för ökad anpassningsförmåga och säkerhet i smarta elnät","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"DAT305","Industriellt projekt i mjukvaruutveckling","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT315","Datavetaren i samhället","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"DAT320","Mjukvarukvalitet","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT321","Mjukvarukvalitet","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT325","Matematikens domänspecifika språk","TKDAT","DATATEKNIK, CIVILINGENJÖR"
"DATX05","Masterexamensarbete vid Data- och informationsteknik","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"DATX60","Masterexamensarbete vid Data- och informationsteknik","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"EDA092","Operativsystem","TKDAT","DATATEKNIK, CIVILINGENJÖR"
